|   paytin   |    girl    |    girl    |     1      |
|   ellice   |    girl    |    girl    |     1      |
|   nelli    |    girl    |    girl    |     1      |
|   buddy    |    boy     |    boy     |     1      |
|   jedrek   |    boy     |    boy     |     1      |
|   breigh   |    boy     |    girl    |     0      |
|  jaxxson   |    boy     |    boy     |     1      |
|   modell   |    girl    |    girl    |     1      |
|  nicholl   |    girl    |    girl    |     1      |
|   alleen   |    girl    |    girl    |     1      |
|  naylene   |    girl    |    girl    |     1      |
|   tylin    |    boy     |    boy     |     1      |
|   hadar    |    boy     |    girl    |     0      |
|   zacary   |    boy     |    boy     |     1      |
|   willow   |    both    |    girl    |     0      |
|    adyn    |    boy     |    boy     |     1      |
|  glender   |    boy     |    girl    |     0      |
|   maizen   |    girl    |    boy     |     0      |
|   lovell   |    boy     |    both    |     0      |
|   oteka    |    girl    |    girl    |     1      |
|  antania   |    girl    |    girl    |     1      |
|   edison   |    boy     |    boy     |     1      |
|   noemie   |    girl    |    girl    |     1      |
|  kennard   |    boy     |    boy     |     1      |
|    jedi    |    girl    |    boy     |     0      |
|    zuma    |    girl    |    girl    |     1      |
|   stalin   |    boy     |    boy     |     1      |
|   emidio   |    boy     |    boy     |     1      |
|  cecilio   |    boy     |    boy     |     1      |
|   zakiya   |    girl    |    girl    |     1      |
|   sesar    |    boy     |    boy     |     1      |
|  brooklee  |    girl    |    girl    |     1      |
|  joshlynn  |    girl    |    girl    |     1      |
|   moishe   |    boy     |    boy     |     1      |
|  aliyanna  |    girl    |    girl    |     1      |
|  criselda  |    girl    |    girl    |     1      |
| mackenzee  |    both    |    girl    |     0      |
|  valyncia  |    girl    |    girl    |     1      |
|  jilliane  |    girl    |    girl    |     1      |
|  paralee   |    girl    |    girl    |     1      |
|    asia    |    girl    |    both    |     0      |
|  laquinta  |    girl    |    girl    |     1      |
|  brittne   |    girl    |    girl    |     1      |
|   nissim   |    boy     |    boy     |     1      |
|  delfinia  |    girl    |    girl    |     1      |
|   kloey    |    girl    |    girl    |     1      |
|  makenzee  |    girl    |    girl    |     1      |
|   raveen   |    girl    |    girl    |     1      |
|   meztli   |    girl    |    girl    |     1      |
|  rebekka   |    girl    |    girl    |     1      |
|   nubia    |    girl    |    girl    |     1      |
|  darriel   |    boy     |    both    |     0      |
|   loreli   |    girl    |    girl    |     1      |
| bridgitte  |    girl    |    girl    |     1      |
|  amaziah   |    girl    |    boy     |     0      |
|   kerie    |    girl    |    girl    |     1      |
|  ethaniel  |    boy     |    boy     |     1      |
| alexandera |    both    |    girl    |     0      |
|   zahid    |    boy     |    boy     |     1      |
|  tinsley   |    girl    |    girl    |     1      |
|   lyndon   |    boy     |    both    |     0      |
|   maelie   |    girl    |    girl    |     1      |
|   edlyn    |    girl    |    girl    |     1      |
|  braylon   |    boy     |    boy     |     1      |
|   nanea    |    girl    |    girl    |     1      |
|  shloimy   |    boy     |    boy     |     1      |
|   kianga   |    girl    |    girl    |     1      |
|   aydyn    |    boy     |    boy     |     1      |
|    wava    |    girl    |    girl    |     1      |
|   syria    |    girl    |    girl    |     1      |
|  marquies  |    boy     |    boy     |     1      |
|   raneem   |    boy     |    girl    |     0      |
|  kanisha   |    girl    |    girl    |     1      |
|  ageliki   |    girl    |    girl    |     1      |
|   heith    |    boy     |    boy     |     1      |
|    kaua    |    girl    |    boy     |     0      |
|  sumaiya   |    girl    |    girl    |     1      |
|   gussie   |    girl    |    both    |     0      |
|  sharlee   |    girl    |    girl    |     1      |
|  khaniya   |    girl    |    girl    |     1      |
|   justyn   |    both    |    boy     |     0      |
|  imunique  |    girl    |    girl    |     1      |
|  mechell   |    girl    |    girl    |     1      |
|  dontavis  |    boy     |    boy     |     1      |
|   nicky    |    girl    |    both    |     0      |
|  jewelisa  |    girl    |    girl    |     1      |
|  taraneh   |    girl    |    girl    |     1      |
|  dezerae   |    girl    |    girl    |     1      |
|  adelmira  |    girl    |    girl    |     1      |
|   athony   |    boy     |    boy     |     1      |
|   aniza    |    girl    |    girl    |     1      |
|  galilea   |    girl    |    girl    |     1      |
|  laconda   |    girl    |    girl    |     1      |
|   talaya   |    girl    |    girl    |     1      |
|   abdel    |    boy     |    boy     |     1      |
|  decorian  |    boy     |    boy     |     1      |
|   bronx    |    boy     |    boy     |     1      |
|  esthela   |    girl    |    girl    |     1      |
|  micharl   |    boy     |    boy     |     1      |
|   raelee   |    girl    |    girl    |     1      |
|   ackley   |    boy     |    boy     |     1      |
| concepsion |    both    |    girl    |     0      |
|  tatiana   |    girl    |    both    |     0      |
| lillianne  |    girl    |    girl    |     1      |
|   sabir    |    boy     |    boy     |     1      |
|   rilynn   |    girl    |    girl    |     1      |
|   loyda    |    girl    |    girl    |     1      |
|   kerry    |    both    |    both    |     1      |
|  hassana   |    girl    |    girl    |     1      |
|   kaylah   |    girl    |    girl    |     1      |
|   issack   |    boy     |    boy     |     1      |
|   willye   |    girl    |    girl    |     1      |
|   juliet   |    girl    |    girl    |     1      |
|  nicasio   |    boy     |    boy     |     1      |
|   matas    |    boy     |    boy     |     1      |
|  katrena   |    girl    |    girl    |     1      |
|   yisell   |    girl    |    girl    |     1      |
|  quetzal   |    girl    |    girl    |     1      |
|   ocean    |    boy     |    both    |     0      |
|   icela    |    girl    |    girl    |     1      |
|   geryl    |    boy     |    girl    |     0      |
| jeannetta  |    girl    |    girl    |     1      |
|   cinque   |    girl    |    boy     |     0      |
| mahjabeen  |    girl    |    girl    |     1      |
|   danene   |    girl    |    girl    |     1      |
|  shanieka  |    girl    |    girl    |     1      |
|   marji    |    girl    |    girl    |     1      |
|   frieda   |    girl    |    girl    |     1      |
|   eriana   |    girl    |    girl    |     1      |
|  karisma   |    girl    |    girl    |     1      |
